"code_muni";"name_muni";"latitude";"longitude";"produtividade_media";"produtividade_atingivel"
"5200050";"Abadia de Goiás";"-16,78560951";"-49,45201317";"3266,666667";"3700"
"5200100";"Abadiânia";"-16,18663745";"-48,71341617";"3606,666667";"3900"
"5200134";"Acreúna";"-17,45230597";"-50,3260684";"3596,666667";"3900"
"5200159";"Adelândia";"-16,36917755";"-50,18452633";"3507,333333";"3800"
"5200175";"Água Fria de Goiás";"-14,90656398";"-47,79515521";"3400,333333";"3600"
"5200209";"Água Limpa";"-18,07983204";"-48,79112141";"3442,833333";"3701"
"5200258";"Águas Lindas de Goiás";"-15,75575084";"-48,28584726";"3579,666667";"3850"
"5200308";"Alexânia";"-16,08916469";"-48,48185585";"3568,333333";"3900"
"5200506";"Aloândia";"-17,69382765";"-49,46539944";"3416,666667";"4000"
"5200555";"Alto Horizonte";"-14,17108881";"-49,42884759";"3113,333333";"3480"
"5200605";"Alto Paraíso de Goiás";"-14,18305148";"-47,53514968";"3361,833333";"3824"
"5200803";"Alvorada do Norte";"-14,56718734";"-46,63254754";"3703,333333";"3900"
"5200829";"Amaralina";"-13,84233114";"-49,61560289";"3206,666667";"3500"
"5200852";"Americano do Brasil";"-16,26101222";"-50,00002236";"3343,5";"3800"
"5200902";"Amorinópolis";"-16,62594103";"-51,10862447";"3430";"3720"
"5201108";"Anápolis";"-16,29056257";"-48,97287597";"3642,333333";"4500"
"5201207";"Anhanguera";"-18,31237054";"-48,22543128";"3333,333333";"4000"
"5201306";"Anicuns";"-16,397092";"-49,96787134";"3462";"3780"
"5201405";"Aparecida de Goiânia";"-16,81002229";"-49,26246453";"3149,5";"3200"
"5201454";"Aparecida do Rio Doce";"-18,21610921";"-51,26299969";"3369,666667";"3900"
"5201504";"Aporé";"-18,76838925";"-52,04517067";"3286,166667";"3950"
"5201603";"Araçu";"-16,3659947";"-49,70082087";"3473";"3720"
"5201702";"Aragarças";"-15,96939758";"-52,14606789";"3150";"3300"
"5201801";"Aragoiânia";"-16,95151457";"-49,41873287";"2988,833333";"3500"
"5202155";"Araguapaz";"-15,13940424";"-50,43947707";"3366,666667";"3600"
"5202353";"Arenópolis";"-16,35321158";"-51,58527779";"3430";"3720"
"5202502";"Aruanã";"-14,8058834";"-50,93762973";"3391,666667";"3600"
"5202601";"Aurilândia";"-16,69528232";"-50,5252173";"3360";"3720"
"5202809";"Avelinópolis";"-16,4928896";"-49,76680436";"3422";"3800"
"5203104";"Baliza";"-16,35991107";"-52,43849635";"3453,333333";"3720"
"5203203";"Barro Alto";"-14,90786281";"-48,87955627";"3120";"3620"
"5203302";"Bela Vista de Goiás";"-16,95767873";"-48,91147537";"3616,333333";"3780"
"5203401";"Bom Jardim de Goiás";"-16,16856291";"-52,07338586";"3358,833333";"3720"
"5203500";"Bom Jesus de Goiás";"-18,18917743";"-49,87848778";"3553,333333";"4000"
"5203559";"Bonfinópolis";"-16,6016631";"-49,00961087";"3475,833333";"3660"
"5203575";"Bonópolis";"-13,57132113";"-49,8624096";"3041";"3239"
"5203609";"Brazabrantes";"-16,38611747";"-49,37737913";"3310,333333";"3600"
"5203807";"Britânia";"-15,23714295";"-51,20825871";"3380";"3600"
"5203906";"Buriti Alegre";"-18,12566181";"-49,00775153";"3433,333333";"3800"
"5203939";"Buriti de Goiás";"-16,16942182";"-50,45331417";"3466,666667";"3600"
"5203962";"Buritinópolis";"-14,40672832";"-46,29667675";"NA";"#NOME?"
"5204003";"Cabeceiras";"-15,76048558";"-46,99274621";"3534";"3700"
"5204102";"Cachoeira Alta";"-18,54215136";"-50,98221556";"3522,666667";"4200"
"5204201";"Cachoeira de Goiás";"-16,7195421";"-50,69885788";"2700";"2700"
"5204250";"Cachoeira Dourada";"-18,49024235";"-49,62304157";"3416,666667";"3800"
"5204300";"Caçu";"-18,7007056";"-51,13114102";"3025";"3600"
"5204409";"Caiapônia";"-17,00710855";"-51,8147865";"3397,833333";"3900"
"5204508";"Caldas Novas";"-17,70952569";"-48,64630977";"3580";"3800"
"5204557";"Caldazinha";"-16,74241599";"-48,97194373";"3488,166667";"3680"
"5204607";"Campestre de Goiás";"-16,78797921";"-49,69964065";"3460,833333";"3780"
"5204656";"Campinaçu";"-13,88450498";"-48,56824358";"3083,666667";"3296"
"5204706";"Campinorte";"-14,04528363";"-48,97459033";"3273,333333";"3600"
"5204805";"Campo Alegre de Goiás";"-17,55093721";"-47,76824886";"3779";"4200"
"5204854";"Campo Limpo de Goiás";"-16,28666485";"-49,10267299";"3394,75";"3600"
"5204904";"Campos Belos";"-12,9999537";"-46,51093425";"2700";"2700"
"5204953";"Campos Verdes";"-14,19975008";"-49,65970343";"3200";"3200"
"5205000";"Carmo do Rio Verde";"-15,4249375";"-49,74268665";"3600";"3600"
"5205059";"Castelândia";"-18,15630356";"-50,33987609";"3195,333333";"3700"
"5205109";"Catalão";"-17,93093198";"-47,6648678";"3750";"4000"
"5205208";"Caturaí";"-16,4547616";"-49,58355768";"3418,833333";"3750"
"5205307";"Cavalcante";"-13,6352472";"-47,69665537";"3149,2";"3600"
"5205406";"Ceres";"-15,27636738";"-49,63665286";"3436";"3600"
"5205455";"Cezarina";"-17,086019";"-49,75623695";"3430,833333";"3650"
"5205471";"Chapadão do Céu";"-18,4651822";"-52,63312167";"3639,666667";"4060"
"5205497";"Cidade Ocidental";"-16,12397615";"-47,81906837";"3531,166667";"3900"
"5205513";"Cocalzinho de Goiás";"-15,65575501";"-48,6023422";"3412,833333";"3527"
"5205521";"Colinas do Sul";"-13,98491922";"-48,07534837";"NA";"#NOME?"
"5205703";"Córrego do Ouro";"-16,36531709";"-50,58206105";"3400";"3500"
"5205802";"Corumbá de Goiás";"-15,93040497";"-48,67820714";"3474,5";"3627"
"5205901";"Corumbaíba";"-18,16961634";"-48,53307151";"3699";"4020"
"5206206";"Cristalina";"-16,69816409";"-47,51761805";"3740,666667";"4364"
"5206305";"Cristianópolis";"-17,21284676";"-48,7071238";"3545,333333";"3800"
"5206404";"Crixás";"-14,63999335";"-50,06522896";"NA";"#NOME?"
"5206503";"Cromínia";"-17,24049176";"-49,35695851";"3250";"3600"
"5206602";"Cumari";"-18,32078782";"-48,13402162";"3923";"5000"
"5206701";"Damianópolis";"-14,55685626";"-46,19167724";"NA";"#NOME?"
"5206800";"Damolândia";"-16,25564585";"-49,33371733";"3346,333333";"3539"
"5206909";"Davinópolis";"-18,11752213";"-47,56542815";"3783,333333";"4000"
"5207105";"Diorama";"-16,22325746";"-51,35046369";"3460";"3720"
"5207253";"Doverlândia";"-16,80472603";"-52,49321918";"3446,333333";"3950"
"5207352";"Edealina";"-17,42015991";"-49,73963432";"3414,5";"3700"
"5207402";"Edéia";"-17,47703101";"-49,9638064";"3225";"3600"
"5207501";"Estrela do Norte";"-13,81426713";"-49,08620836";"2893,166667";"3296"
"5207535";"Faina";"-15,43552065";"-50,37055337";"3350";"3600"
"5207600";"Fazenda Nova";"-16,15139593";"-50,85764479";"3173,333333";"3720"
"5207808";"Firminópolis";"-16,63999763";"-50,31282662";"3511,5";"3720"
"5207907";"Flores de Goiás";"-14,6514498";"-46,90554421";"3205,666667";"3635"
"5208004";"Formosa";"-15,30753597";"-47,24690106";"3468,666667";"3776"
"5208103";"Formoso";"-13,72240752";"-48,86813472";"1733";"1733"
"5208152";"Gameleira de Goiás";"-16,40338949";"-48,67374587";"3613,333333";"3800"
"5208301";"Divinópolis de Goiás";"-13,2643053";"-46,51916398";"1950";"2700"
"5208400";"Goianápolis";"-16,51511618";"-49,06607735";"3331,5";"3414"
"5208509";"Goiandira";"-18,12308762";"-48,13887582";"3783,333333";"4200"
"5208608";"Goianésia";"-15,27506791";"-49,16645001";"3158,333333";"3750"
"5208707";"Goiânia";"-16,64352775";"-49,2737945";"3650,5";"3851"
"5208806";"Goianira";"-16,50027548";"-49,4285931";"3413,833333";"3850"
"5208905";"Goiás";"-15,84705743";"-50,24257784";"3375";"3600"
"5209101";"Goiatuba";"-17,99365285";"-49,65878731";"3405";"3850"
"5209150";"Gouvelândia";"-18,50918115";"-50,15575564";"3380";"4100"
"5209200";"Guapó";"-16,91149159";"-49,57177333";"3233,333333";"3600"
"5209291";"Guaraíta";"-15,67277142";"-50,05013821";"2500";"2500"
"5209408";"Guarani de Goiás";"-13,88942724";"-46,43246645";"2641,5";"3358"
"5209457";"Guarinos";"-14,69940859";"-49,73069241";"2806";"2806"
"5209606";"Heitoraí";"-15,7435932";"-49,78410348";"3280,833333";"3811"
"5209705";"Hidrolândia";"-17,01150408";"-49,26680552";"3036,666667";"3200"
"5209804";"Hidrolina";"-14,7395118";"-49,36302739";"3220";"3500"
"5209903";"Iaciara";"-14,09059572";"-46,75505864";"3452,666667";"4215"
"5209937";"Inaciolândia";"-18,50935794";"-49,91560081";"3541,666667";"4200"
"5209952";"Indiara";"-17,18517977";"-49,96816768";"3242,166667";"3500"
"5210000";"Inhumas";"-16,30760518";"-49,51591735";"3407,5";"3826"
"5210109";"Ipameri";"-17,50588916";"-48,05449478";"3684";"4000"
"5210158";"Ipiranga de Goiás";"-15,16872089";"-49,66959035";"3307,333333";"3900"
"5210208";"Iporá";"-16,41655759";"-51,18097375";"3460";"3720"
"5210307";"Israelândia";"-16,35766297";"-50,8812509";"3473,333333";"3720"
"5210406";"Itaberaí";"-16,08087365";"-49,82280684";"3438,833333";"3800"
"5210562";"Itaguari";"-15,93790045";"-49,62446016";"3491,333333";"3967"
"5210604";"Itaguaru";"-15,77328377";"-49,61210642";"3432,333333";"3800"
"5210802";"Itajá";"-19,10118912";"-51,31955091";"3453";"3900"
"5210901";"Itapaci";"-14,94236561";"-49,64716323";"3348,833333";"3900"
"5211008";"Itapirapuã";"-15,70287991";"-50,77153856";"3116,666667";"3600"
"5211206";"Itapuranga";"-15,54796843";"-49,94973151";"2402";"2500"
